siteName,speciesName,Year
's-Gravenhage,Pyrrhosoma nymphula,2025
's-Gravenhage,Erythromma najas,2025
's-Gravenhage,Sympecma fusca,2025
's-Gravenhage,Libellula depressa,2025
's-Gravenhage,Ischnura elegans,2025
's-Gravenhage,Coenagrion puella,2025
's-Gravenhage,Anax imperator,2025
's-Gravenhage,Sympetrum vulgatum,2025
's-Gravenhage,Sympetrum striolatum,2025
's-Gravenhage,Pyrrhosoma nymphula,2025
's-Gravenhage,Sympecma fusca,2025
's-Gravenhage,Lestes barbarus,2025
's-Gravenhage,Libellula quadrimaculata,2025
's-Gravenhage,Ischnura elegans,2025
's-Gravenhage,Anax imperator,2025
's-Gravenhage,Pyrrhosoma nymphula,2025
's-Gravenhage,Sympetrum striolatum,2025
's-Gravenhage,Libellula depressa,2025
's-Gravenhage,Chalcolestes viridis,2025
's-Gravenhage,Coenagrion pulchellum,2025
's-Gravenhage,Chalcolestes viridis,2025
's-Gravenhage,Orthetrum cancellatum,2025
's-Gravenhage,Erythromma viridulum,2025
's-Gravenhage,Libellula quadrimaculata,2025
's-Gravenhage,Chalcolestes viridis,2025
's-Gravenhage,Ischnura elegans,2025
's-Gravenhage,Orthetrum cancellatum,2025
's-Gravenhage,Libellula quadrimaculata,2025
's-Gravenhage,Coenagrion puella,2025
's-Gravenhage,Chalcolestes viridis,2025
's-Gravenhage,Sympecma fusca,2025
's-Gravenhage,Sympecma fusca,2025
's-Gravenhage,Anax imperator,2025
's-Gravenhage,Coenagrion puella,2025
's-Gravenhage,Coenagrion puella,2025
's-Gravenhage,Orthetrum cancellatum,2025
's-Gravenhage,Sympetrum vulgatum,2025
's-Gravenhage,Coenagrion puella,2025
's-Gravenhage,Erythromma najas,2025
's-Gravenhage,Erythromma viridulum,2025
's-Gravenhage,Enallagma cyathigerum,2025
's-Gravenhage,Sympetrum vulgatum,2025
's-Gravenhage,Sympecma fusca,2025
's-Gravenhage,Sympetrum striolatum,2025
's-Gravenhage,Sympetrum striolatum,2025
's-Gravenhage,Ischnura elegans,2025
's-Gravenhage,Anax imperator,2025
's-Gravenhage,Pyrrhosoma nymphula,2025
's-Gravenhage,Aeshna mixta,2025
's-Gravenhage,Pyrrhosoma nymphula,2025
's-Gravenhage,Libellula quadrimaculata,2025
's-Gravenhage,Leucorrhinia pectoralis,2025
's-Gravenhage,Enallagma cyathigerum,2025
's-Gravenhage,Libellula quadrimaculata,2025
's-Gravenhage,Coenagrion pulchellum,2025
's-Gravenhage,Erythromma najas,2025
's-Gravenhage,Orthetrum cancellatum,2025
's-Gravenhage,Anax parthenope,2025
's-Gravenhage,Libellula depressa,2025
's-Gravenhage,Lestes barbarus,2025
's-Gravenhage,Aeshna mixta,2025
's-Gravenhage,Coenagrion pulchellum,2025
's-Gravenhage,Libellula depressa,2025
's-Gravenhage,Erythromma najas,2025
's-Gravenhage,Enallagma cyathigerum,2025
's-Gravenhage,Aeshna grandis,2025
's-Gravenhage,Enallagma cyathigerum,2025
's-Gravenhage,Coenagrion pulchellum,2025
's-Gravenhage,Aeshna affinis,2025
's-Gravenhage,Sympetrum vulgatum,2025
's-Gravenhage,Anax parthenope,2025
's-Gravenhage,Leucorrhinia pectoralis,2025
's-Gravenhage,Ceriagrion tenellum,2025
's-Gravenhage,Anax parthenope,2025
's-Gravenhage,Aeshna mixta,2025
's-Gravenhage,Cordulia aenea,2025
's-Gravenhage,Somatochlora metallica,2025
's-Gravenhage,Erythromma viridulum,2025
's-Gravenhage,Erythromma viridulum,2025
's-Gravenhage,Calopteryx splendens,2025
's-Gravenhage,Aeshna grandis,2025
's-Gravenhage,Enallagma cyathigerum,2025
's-Gravenhage,Ischnura elegans,2025
's-Gravenhage,Anax imperator,2025
's-Gravenhage,Coenagrion pulchellum,2025
's-Gravenhage,Lestes barbarus,2025
's-Gravenhage,Sympetrum fonscolombii,2025
's-Gravenhage,Aeshna mixta,2025
's-Gravenhage,Anax parthenope,2025
's-Gravenhage,Lestes virens,2025
's-Gravenhage,Coenagrion scitulum,2025
's-Gravenhage,Calopteryx splendens,2025
's-Gravenhage,Sympetrum fonscolombii,2025
's-Gravenhage,Orthetrum cancellatum,2025
's-Gravenhage,Sympetrum meridionale,2025
's-Gravenhage,Lestes sponsa,2025
's-Gravenhage,Libellula depressa,2025
's-Gravenhage,Lestes virens,2025
's-Gravenhage,Calopteryx splendens,2025
's-Gravenhage,Lestes sponsa,2025
's-Gravenhage,Lestes dryas,2025
's-Gravenhage,Sympetrum meridionale,2025
's-Gravenhage,Stylurus flavipes,2025
's-Gravenhage,Lestes virens,2025
's-Gravenhage,Aeshna grandis,2025
's-Gravenhage,Coenagrion scitulum,2025
's-Gravenhage,Lestes sponsa,2025
's-Gravenhage,Aeshna grandis,2025
's-Gravenhage,Ischnura pumilio,2025
's-Gravenhage,Ischnura pumilio,2025
Leiden,Orthetrum cancellatum,2025
Leiden,Anax imperator,2025
Leiden,Sympecma fusca,2025
Leiden,Coenagrion puella,2025
Leiden,Sympetrum striolatum,2025
Leiden,Ischnura elegans,2025
Leiden,Coenagrion pulchellum,2025
Leiden,Sympecma fusca,2025
Leiden,Ischnura elegans,2025
Leiden,Orthetrum cancellatum,2025
Leiden,Orthetrum cancellatum,2025
Leiden,Coenagrion pulchellum,2025
Leiden,Pyrrhosoma nymphula,2025
Leiden,Ischnura elegans,2025
Leiden,Pyrrhosoma nymphula,2025
Leiden,Coenagrion pulchellum,2025
Leiden,Erythromma viridulum,2025
Leiden,Sympecma fusca,2025
Leiden,Sympetrum vulgatum,2025
Leiden,Aeshna mixta,2025
Leiden,Ischnura elegans,2025
Leiden,Anax parthenope,2025
Leiden,Erythromma najas,2025
Leiden,Erythromma viridulum,2025
Leiden,Ischnura elegans,2025
Leiden,Erythromma najas,2025
Leiden,Chalcolestes viridis,2025
Leiden,Coenagrion puella,2025
Leiden,Chalcolestes viridis,2025
Leiden,Libellula depressa,2025
Leiden,Sympetrum striolatum,2025
Leiden,Coenagrion puella,2025
Leiden,Chalcolestes viridis,2025
Leiden,Anax imperator,2025
Leiden,Orthetrum cancellatum,2025
Leiden,Chalcolestes viridis,2025
Leiden,Coenagrion pulchellum,2025
Leiden,Coenagrion puella,2025
Leiden,Orthetrum cancellatum,2025
Leiden,Erythromma najas,2025
Leiden,Platycnemis pennipes,2025
Leiden,Pyrrhosoma nymphula,2025
Leiden,Coenagrion puella,2025
Leiden,Libellula depressa,2025
Leiden,Sympetrum vulgatum,2025
Leiden,Gomphus pulchellus,2025
Leiden,Aeshna mixta,2025
Leiden,Leucorrhinia pectoralis,2025
Leiden,Erythromma viridulum,2025
Leiden,Libellula quadrimaculata,2025
Leiden,Pyrrhosoma nymphula,2025
Leiden,Coenagrion pulchellum,2025
Leiden,Libellula depressa,2025
Leiden,Erythromma najas,2025
Leiden,Sympetrum striolatum,2025
Leiden,Sympetrum striolatum,2025
Leiden,Pyrrhosoma nymphula,2025
Leiden,Libellula depressa,2025
Leiden,Libellula quadrimaculata,2025
Leiden,Libellula quadrimaculata,2025
Leiden,Ischnura pumilio,2025
Leiden,Enallagma cyathigerum,2025
Leiden,Anax imperator,2025
Leiden,Lestes sponsa,2025
Leiden,Aeshna mixta,2025
Leiden,Sympetrum vulgatum,2025
Leiden,Ischnura pumilio,2025
Leiden,Sympetrum meridionale,2025
Leiden,Ischnura pumilio,2025
Leiden,Libellula depressa,2025
Leiden,Aeshna grandis,2025
Leiden,Anax imperator,2025
Leiden,Aeshna mixta,2025
Leiden,Sympetrum vulgatum,2025
Leiden,Sympecma fusca,2025
Leiden,Libellula quadrimaculata,2025
Leiden,Sympecma fusca,2025
Leiden,Erythromma viridulum,2025
Leiden,Coenagrion lunulatum,2025
Leiden,Stylurus flavipes,2025
Leiden,Anax parthenope,2025
Leiden,Aeshna viridis,2025
Leiden,Libellula quadrimaculata,2025
Leiden,Enallagma cyathigerum,2025
Leiden,Ischnura pumilio,2025
Leiden,Orthetrum brunneum,2025
Leiden,Aeshna grandis,2025
Leiden,Calopteryx splendens,2025
Leiden,Erythromma najas,2025
Leiden,Leucorrhinia dubia,2025
Leiden,Platycnemis pennipes,2025
Leiden,Anax parthenope,2025
Leiden,Anax parthenope,2025
Leiden,Enallagma cyathigerum,2025
